name,text,category
Facebook posts,“The CDC director just said that 75% of ‘Covid deaths’ occurred in people with at least four comorbidities.”,true
Viral image,"Says Steve Jobs said, “I realize that all my recognition and wealth that I have is meaningless in the face of imminent death.”",true
Tim Baxter,Says Alexandria Ocasio-Cortez “says that all young people want to be socialists.”,true
Facebook posts,Says Supreme Court Justice Sonia Sotomayor was photographed at dinner with Democratic lawmakers.,true
Facebook posts,"""Clarence Thomas’s wife was one of the organizers of Jan 6th""",true
Facebook posts,"""Biden's CDC Director ADMITS Her Own Employees Aren't Getting Vaccinated.""",true
Facebook posts,“A tragic end today” for CNN’s Sanjay Gupta,true
Tweets,Says Bob Saget died from the COVID-19 vaccine.,true
Dana Perino,A law backed by Virginia Democrats barred local sheriffs from having military equipment that “would have come in very helpful” with the I-95 traffic jam.,true
Dinesh D'Souza,"Recently released Jan. 6 footage shows ""these cops using massive amounts of force against unarmed Trump supporters, including women.""",true
Sonia Sotomayor,"“We have over 100,000 children, which we’ve never had before, in serious condition, and many on ventilators” due to the coronavirus.",true
Rand Paul,“No one has been hospitalized for” the omicron variant of COVID-19.,true
Bloggers,Says Georgia Secretary of State Brad Raffensperger “to investigate himself over voter fraud.”,true
Bloggers,“Data from around the world suggests that omicron favors the fully vaccinated.”,true
Facebook posts,"If you have “natural immunity,” getting vaccinated against COVID-19 “is more likely to harm you severely.”",true
The Gateway Pundit,"""Germany: 96% of Latest Omicron Patients were FULLY Vaccinated – Only 4% Unvaccinated”",true
Facebook posts,"""Half a million sharks could be killed to make the COVID-19 vaccine.""",true
Facebook posts,Electric vehicles would not have fared well in the Virginia snowstorm traffic jam.,true
Facebook posts,Pfizer made $37 billion in profit in its last quarter.,true
Joe Volk,"“In Wisconsin, we have 50% of the population paying 50%, 60%, 70%, sometimes 80% for their housing.”",true
TikTok posts,"When children are given vaccines for COVID-19, “a viral gene will be injected into your children's cells. This gene forces your child’s body to make toxic spike proteins. These proteins often cause permanent damage in children’s critical organs.""",true
Viral image,Photo shows former French education minister Najat Vallaud-Belkacem herding sheep as a child in Morocco.,true
Viral image,An email shows that employers are requiring employees to wear masks during Zoom meetings.,true
Instagram posts,"Tylenol ""ruins your ability to kill” COVID-19.",true
Bloggers,"“Chief Justice John Roberts goes after the highest court in the land, citing their ‘inappropriate political influence.’”",true
Bloggers,“Pfizer CEO: New Pill Will Have a Microchip That Transmits Info Once You Swallow It!”,true
Save America PAC,President Joe Biden “never had a” COVID-19 “plan.”,true
Facebook posts,President Joe Biden “has the lowest approval rating of any president ever.”,true
Instagram posts,"""Yale study: Vaccinated people more likely to be infected than those without the jab.”",true
Facebook posts,A judge sealed “all the evidence and proof of who helped Ghislaine Maxwell sex traffic children.”,true
Instagram posts,The CDC finally admits its COVID-19 test can’t tell the difference between the virus and the flu,true
Facebook posts,Vaccines are why flights have been shut down worldwide.,true
Congressional Progressive Caucus PAC,“Trump cut Social Security benefits by over $3 billion.”,true
Tweets,“WHO Director-General: The vaccines are being used to kill children.”,true
Peter McCollough,Teens are “more likely to be hospitalized with myocarditis” from the COVID-19 vaccines than to be “hospitalized with COVID.”,true
Facebook posts,"""Polar bears have increased 400% in 45 years; whales are nearly fully recovered; extinctions are down 90% past century. Koalas are doing fine. If we could ban wind turbines we could save 85,000 birds of prey/yr in US alone.""",true
Facebook posts,NASA study says snake plants can produce enough oxygen for humans to live in a sealed room.,true
Alexandria Ocasio-Cortez,"“I represent more, or just as many or more, people than Joe Manchin does.”",true
Facebook posts,"Eating grapefruit, “if you're on antidepressants,” can “cause a fatal overdose.”",true
Bloggers,"""Electromagnetic radiation from wireless technologies, including and especially 5G, can cause the same symptoms as COVID-19!""",true
Facebook posts,"Says Kellogg’s tweeted, “Oh, so you think it's cool when workers strike jobs? Now replace 'jobs' with 'women.' Still think it's 'cool'?""",true
Facebook posts,"The omicron variant of COVID-19 “came out” in 2021, but “the copyright on this book” about the variant is 2020.",true
Facebook posts,“Maybe they’re just calling the common cold … the omicron variant.”,true
Facebook posts,“Moderna patent uncovers horror nanocensor contained in bioweapon.”,true
Viral image,It’s a myth that autism is genetic.,true
Facebook posts,"“Dr. Ugur Sahin, CEO of BioNTech and inventor of the BIO N TECH Pfizer jab, refuses to take the jab for safety reasons.”",true
Bloggers,“Santa Claus arrested by German police for not wearing a mask.”,true
Facebook posts,“McDonald’s puts aborted baby fetuses in their food.”,true
Viral image,“Dr. Fauci opens up the possibility that the COVID-19 vaccine could be making people more likely to be infected by the virus.”,true
Viral image,Photo shows “the jabbed and the unjabbed … separated with a fence in a supermarket” in Germany.,true
Facebook posts,Microsoft and Bill Gates created a 1999 video game called “Omikron.”,true
Facebook posts,Soft-tissue cancer diagnoses have “climbed through the roof” in 2021 as a result of COVID-19 vaccines.,true
Instagram posts,A video from British public broadcaster BBC shows the network was part of a 9/11 conspiracy.,true
Facebook posts,“California store owner prices all items at $951 so thieves can be prosecuted.”,true
Joe Biden,“I’ve been against that war in Afghanistan from the very beginning.”,true
Bloggers,"""2,809 Dead Babies in VAERS Following COVID Shots as New Documents Prove Pfizer, the FDA, and the CDC Knew the Shots Were Not Safe for Pregnant Women""",true
Lindsey Graham,“The CBO says (the Build Back Better Act) is $3 trillion of deficit spending.”,true
Facebook posts,“Wisconsin 2020 election investigation finds more illegal votes were cast than Biden's margin of victory.”,true
Facebook posts,Says Anthony Fauci “wants Americans to get 4 shots per year.”,true
Bloggers,"At Lions Gate Hospital in Vancouver, “13 babies were reportedly stillborn at the hospital in a period of 24 hours. All of their mothers had received a COVID-19 injection.”",true
Facebook posts,"“Dr. Oz releases COPD gummies that help quit smoking, detox lungs and stop COPD.”",true
Instagram posts,"Deaths from vaccines have totaled 1,621 from Johnson & Johnson, 4,799 from Moderna, 13,039 from Pfizer and 73 from unknown vaccines. And this is an undercount because “only 1% of deaths are reported.”",true
Facebook posts,German chemist Andreas Noack was “assassinated just hours after publishing the secret of the vax by government operatives.”,true
Facebook posts,Warnings about heart problems and blood clots in cold weather are to cover up COVID-19 vaccine side effects.,true
Bloggers,"The COVID-19 vaccines ""suppress the immune system"" and make people more susceptible to HIV, shingles and herpes.",true
Facebook posts,"Society is “choosing blood clots and heart problems over cold and flu symptoms, or even no symptoms at all.”",true
Viral image,"The crew of the U.S.S. Constitution consumed more than 252,000 gallons of alcohol and only 10,000 gallons of water on a seven-month trip.",true
Facebook posts,"“The toxicity of COVID-Omicron is 5 times higher than that of the delta variant, and the mortality rate is also higher than that of Delta.”",true
Viral image,Ghislaine Maxwell’s co-defendants include Beyonce and Kanye West.,true
Facebook posts,Electric vehicles are more likely to fail in traffic jams.,true
Facebook posts,"""COVID-19 vaccines do not stop transmission of COVID, but instead increase it.”",true
Donald Trump,"Gas prices were ""$1.86 when I left"" the White House.",true
Facebook posts,"A campaign poster for New Zealand Prime Minister Jacinda Ardern with the slogan, “No jab. No job, no refunds.”",true
Facebook posts,“There’s only one reporter on site” at the Ghislaine Maxwell trial.,true
Viral image,Photo shows “a German mall separating the vaccinated and unvaccinated.”,true
Facebook posts,"""Pathogens evolve to become less, not more, virulent over time” because otherwise, “they’d destroy their hosts which they depend on to live.”",true
Bloggers,“Only the fully vaccinated should fear the new ‘worst ever’ Covid-19 variant; data shows they already account for 4 in every 5 Covid deaths”,true
Viral image,A video shows people in Romania protesting COVID-19 vaccines.,true
Viral image,Says Boris Johnson faked getting his booster shot.,true
Facebook posts,Says Prince Harry and Meghan Markle’s baby doesn’t exist.,true
Facebook posts,"A Canary Islands volcano eruption could lead to a mega tsunami in the U.S., with a 160-foot wave and no warnings.",true
Tweets,"""Tap water is testing positive for COVID!”",true
Instagram posts,COVID-19 vaccines are gene therapy and a recent Forbes article proves that.,true
Joe Biden,“I used to drive a tractor trailer … I only did it for part of a summer.”,true
Kevin McCarthy,The House-passed Build Back Better bill is a “government takeover of child care.”,true
Sean Hannity,"""If you look pre-COVID"" under President Donald Trump, ""we didn't import a single barrel of oil from Saudi Arabia.”",true
Joe Biden,"""The number of small businesses is up 30% compared to before the pandemic.""",true
The Gateway Pundit,"Because of omicron, “the Biden administration has decided to leave the U.S. southern border completely open.”",true
Bloggers,Heart complications are one symptom “listed” for the omicron variant and are being “used to cover up effects” of COVID-19 vaccines.,true
Facebook posts,Black Friday originated in 1904 when enslaved people were sold at a discount to boost the economy.,true
Facebook posts,“BREAKING: Judge in Ghislaine Maxwell trial issues media-wide gag order: all press & spectators barred from courtroom.”,true
Facebook posts,"Low gas prices in Russia, Kuwait and Saudi Arabia show that Joe Biden’s decision to cancel the Keystone Pipeline project is to blame for U.S. prices.",true
Viral image,“Kyle Rittenhouse files $400 million suit against CNN!”,true
Viral image,Says Virgil Abloh was a defendant in Ghislaine Maxwell’s criminal case when he died a day before the trial started.,true
Bloggers,Athletes are collapsing with heart-related issues due to the COVID-19 vaccines,true
Viral image,A photo shows Jeffrey Epstein with Joe Biden.,true
Viral image,“Only Reuters” reported that the doctor who detected the omicron variant said its symptoms are “very mild.”,true
Bloggers,"“COVID death rates 4 to 1, vaccinated to unvaxxed”",true
Facebook posts,We know in November 2021 that “none of your previous vaccines will protect you now from the emerging variant omicron.”,true
Viral image,The omicron variant’s name is evidence the coronavirus pandemic is a hoax.,true
Viral image,"Says a Vox headline said, “teaching children the Bunny Ear method for tying their shoes” is racist.",true
Viral image,“Celine Dion has been paralyzed by the COVID vaccine and cancels her tour.”,true
Facebook posts,"""Nancy Pelosi just bought a 11,000 square foot $25 million mansion in Florida.""",true
Viral image,“Kyle Rittenhouse files a $60 million lawsuit against Joy Behar and Whoopi Goldberg.”,true
Viral image,Photo shows people recently protesting in Austria.,true
Jerrold Nadler,Kyle Rittenhouse was an “armed person” crossing state lines when he came to Kenosha protests in 2020.,true
Facebook posts,“The gas station where they initially attacked” Kyle Rittenhouse “is owned by his grandparents.”,true
Instagram posts,“Vitamin D levels of 50 ng/mL correlates to zero mortality rate from COVID.”,true
Alex Jones,"""Fauci admits Covid vax doesn't work""",true
Facebook posts,The Vatican owns a telescope called Lucifer.,true
Facebook posts,President Joe Biden will “control health care costs by slapping a 95% tax on prescription drugs.”,true
Kevin McCarthy,“If you or your family spends $28 a day — prepare to be under constant audit by the IRS.”,true
Facebook posts,Photos showed “bricks everywhere” in Kenosha during the Kyle Rittenhouse trial.,true
Bloggers,“German News Agency Tracks 75 Prominent Athletes Suddenly Dead Of Heart Attacks After COVID Vax”,true
Bloggers,COVID-19 vaccines contain luciferase.,true
Kevin McCarthy,“Never in American history has so much been spent at one time. Never in American history will so many taxes be raised and so much borrowing be needed to pay for this reckless spending.”,true
Facebook posts,Says Bill Gates is linked to the discovery of vials labeled “smallpox” at Pennsylvania lab.,true
Jen Psaki,“No economist out there is projecting that (the Build Back Better bill) will have a negative impact on inflation.”,true
Facebook posts,Keystone Pipeline was blocked by Obama on Warren Buffett’s behalf.,true
Viral image,"Unleaded gas costs nearly $7 in Lancaster, Calif.",true
Progress Iowa,"""Only one member of Iowa’s federal delegation"" voted in favor of the bipartisan infrastructure legislation.",true
Tweets,"""Bill Gates just admitted that the Pfizer and Moderna mRNA vaccines don’t work well.""",true
TikTok posts,The COVID-19 vaccines “failed miserably” in animal trials and are “a type of gene therapy that several top scientists warn will kill you.”,true
Viral image,“Close to hundreds” of people died at Astroworld.,true
Facebook posts,"“500 National Guardsmen being called to Kenosha ahead of the Rittenhouse verdict. Had they done this in the first place, there wouldn’t have been a trial.”",true
Facebook posts,A Kansas City tourism sign had a terrible typo.,true
Bloggers,“Disturbing Pfizer ad tells kids they’ll get superpowers from COVID jab.”,true
Facebook posts,"A new medical diagnosis code has been designated for people who decline vaccines, and it will be used to help determine who will go into ""education camps.""",true
Facebook posts,“Stalin once ripped all the feathers off a live chicken as a lesson to his followers.”,true
Viral image,Kyle Rittenhouse’s mother “drove him across state lines and dropped him off in the middle of a riot armed with an assault rifle” in Kenosha.,true
Facebook posts,Video shows irate airline passenger demanding a seat away from an unvaccinated passenger and being asked to leave the airplane.,true
Facebook posts,Scam artists are using Amazon to send people face masks laced with “something toxic.”,true
Bloggers,"""Report finds increased risk of spontaneous abortion following COVID-19 vaccination during pregnancy” after correcting “major error” in CDC study.",true
Facebook posts,"No new COVID-19 cases in Uttar Pradesh, India, due to use of ivermectin",true
Joe Biden,“No governor in Virginia has ever won when...he or she is the same party as the sitting president.”,true
Steve Kirsch,“Gavin Newsom is out of sight likely because he has Guillain-Barre syndrome from his booster shot.”,true
Facebook posts,"""Italy drastically reduced the country’s official COV1D-19 death count by over 97%. This means Covid killed fewer people than an average seasonal flu.”",true
Infowars,“Sending your child to school” on a day when vaccines are being administered “is implied consent” for getting the COVID-19 vaccine.,true
Facebook posts,"Live Nation scheduled the 50,000-person Astroworld music festival at a venue that has a capacity of 20,000.",true
Tweets,Photos show “diesel generators” at the COP26 climate change conference.,true
Viral image,"A banner for COVID-19 vaccines says, “Don’t forget to donate your childrens organs.”",true
Facebook posts,“Queen Elizabeth d-e-a-d at age 95.”,true
Facebook posts,President Joe Biden threatened to “swoop down with Special Forces folks and gather up every gun in America.”,true
Project Veritas,A crime was committed when a New Jersey election worker allowed someone who said he was not a citizen to fill out a ballot.,true
Bloggers,“Australian military being trained to **force vaccinate** in door-to-door attacks.”,true
Rebecca Kleefisch,The Biden Department of Justice “would use the FBI to target parents who speak out against critical race theory.”,true
Tweets,“Fox News went from 97% reporting to 94% in Virginia. The fraud is so blatant it's not funny anymore.”,true
Bloggers,"“Pfizer Confirms COVID-Vaccinated People Can ‘Shed’ Spike Proteins And Harm The Unvaccinated""",true
Aaron Rodgers,"""This idea that it's the pandemic of the unvaccinated, it's just a total lie.""",true
Facebook posts,"The Astroworld concert was a “test run on the vaxxed” because people who are injected with graphene oxide can be controlled through magnetic frequencies, including music.",true
Bloggers,"United Kingdom “government reports suggest the fully vaccinated are rapidly developing Acquired Immunodeficiency Syndrome.""",true
Facebook posts,"Dr. Herbert Smitherman invented Crest toothpaste, Folgers coffee, Safeguard soap and Bounce fabric softener.",true
Viral image,Bergen County in New Jersey gave more votes to the Democratic gubernatorial candidate after all the ballots were counted.,true
Facebook posts,"“The Spanish High Court has announced (COVID-19) is a bio weapon with a patent, not a virus.”",true
Facebook posts,“Scientists say this map represents the US in 30 years if we don’t reverse climate change.”,true
Facebook posts,“Trash bins discovered outside the Gloucester County Board of Elections containing blank ballots as well as bags of shredded ballots from Tuesday’s election!”,true
Viral image,"“The day Al Gore was born there were 130,000 glaciers on Earth. Today, only 130,000 remain.”",true
Facebook posts,The premier of Australia’s Victoria state “is freezing people’s bank accts” if they are not vaccinated. “They can’t buy or sell until forced into submission.”,true
Facebook posts,"“Moderna has been pulled in Iceland and pulled for everyone under age 30 in Finland, Sweden, Norway, Denmark due to heart issues.”",true
Tucker Carlson,"Federal agents directly incited people on Jan. 6, 2021, and ""intentionally entrapped"" American citizens.",true
Viral image,“Global warming is part of (a) natural cycle and there’s nothing we can actually do to stop these cycles.”,true
Jack Posobiec,"A photo taken on Jan. 6, 2021, at the United States Capitol riot was “doctored to look as if the Capitol was on fire.”",true
Tucker Carlson,“DEA agent Mark Ibrahim was forced from his job and later indicted simply because he was near the Capitol protest on Jan. 6.”,true
Viral image,In-N-Out cups say “Let’s go Brandon.”,true
Instagram posts,"Children who receive COVID-19 vaccinations ""will be walking factories of spike proteins"" that will ""undoubtedly cause illnesses to spread like wildfire in schools.""",true
Instagram posts,"""National Guard to fill in for cops who refuse to get vaccinated.""",true
Facebook posts,“Virginia Democrat operatives” and Terry McAuliffe campaign staffers posed as white supremacists and stood by Republican Glenn Youngkin’s bus.,true
TikTok posts,“The Biden administration wants to create an international oversight committee” to alter or cancel Second Amendment rights.,true
Facebook posts,"“Unmask your kids! Any carbon dioxide concentrations above” 2,000 parts per million are “dangerous!”",true
Instagram posts,Blood “starts to clot in a minute or two” after a Pfizer COVID-19 vaccine injection.,true
Viral image,In-N-Out cups say “F--- Joe Biden.”,true
Facebook posts,“Atlanta just lost 75% of its police force”,true
Viral image,"""There is no such thing as a booster. There is a failed product that is sometimes used again in hopes of a different outcome.”",true
Alex Berenson,"In the United Kingdom, “70-plus percent of the people who die now from COVID are fully vaccinated.”",true
Instagram posts,Says Jen Psaki said Joe Biden wants to protect “marked people.”,true
Viral image,"Says Donald Trump said, “Alec Baldwin, a total loser, has taken his impression of me to a new low by testing out this theory” by shooting someone.",true
Byron Brown,"“Three percent is not a modest tax increase, if you own a $100,000 home in the city of Buffalo, that means an extra $300 a year.”",true
Viral image,“79.4% of babies who die of ‘SIDS’ had a vaccine the same day.”,true
Viral image,"Photo shows Sheryl Crow wearing a shirt that says, “Keep America Trumpless.”",true
Facebook posts,President Joe Biden withdrew troops from Afghanistan “simply because of Trump Derangement Syndrome and they wanted to reverse any policy that Trump had implemented.”,true
Viral image,“Indiana State Police offers to hire Chicago officers who REFUSE TO COMPLY with vax mandate.”,true
Facebook posts,A White House photographer took a picture of Donald Trump at the White House on Oct. 24.,true
